,alive,dead,total,Age
"(0, 8]",36.0,18.0,54.0,0.6666666666666666
"(8, 13]",6.0,11.0,17.0,0.35294117647058826
"(13, 18]",28.0,40.0,68.0,0.4117647058823529
"(18, 22]",28.0,64.0,92.0,0.30434782608695654
"(22, 25]",26.0,44.0,70.0,0.37142857142857144
"(25, 30]",42.0,66.0,108.0,0.3888888888888889
"(30, 35]",41.0,47.0,88.0,0.4659090909090909
"(35, 45]",45.0,69.0,114.0,0.39473684210526316
"(45, 50]",16.0,23.0,39.0,0.41025641025641024
"(50, 60]",17.0,25.0,42.0,0.40476190476190477
"(60, 80]",5.0,17.0,22.0,0.22727272727272727
